,CountryName,RegionName,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings
0,Aruba,,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
1,Aruba,,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
2,Aruba,,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
3,Aruba,,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
4,Aruba,,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
5,Aruba,,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
6,Aruba,,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
7,Afghanistan,,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
8,Afghanistan,,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
9,Afghanistan,,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
10,Afghanistan,,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
11,Afghanistan,,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
12,Afghanistan,,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
13,Afghanistan,,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
14,Angola,,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
15,Angola,,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
16,Angola,,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
17,Angola,,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
18,Angola,,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
19,Angola,,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
20,Angola,,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
21,Albania,,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
22,Albania,,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
23,Albania,,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
24,Albania,,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
25,Albania,,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
26,Albania,,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
27,Albania,,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
28,Andorra,,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
29,Andorra,,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
30,Andorra,,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
31,Andorra,,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
32,Andorra,,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
33,Andorra,,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
34,Andorra,,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
35,United Arab Emirates,,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
36,United Arab Emirates,,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
37,United Arab Emirates,,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
38,United Arab Emirates,,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
39,United Arab Emirates,,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
40,United Arab Emirates,,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
41,United Arab Emirates,,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
42,Argentina,,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
43,Argentina,,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
44,Argentina,,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
45,Argentina,,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
46,Argentina,,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
47,Argentina,,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
48,Argentina,,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
49,Australia,,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
50,Australia,,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
51,Australia,,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
52,Australia,,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
53,Australia,,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
54,Australia,,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
55,Australia,,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
56,Austria,,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
57,Austria,,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
58,Austria,,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
59,Austria,,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
60,Austria,,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
61,Austria,,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
62,Austria,,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
63,Azerbaijan,,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
64,Azerbaijan,,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
65,Azerbaijan,,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
66,Azerbaijan,,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
67,Azerbaijan,,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
68,Azerbaijan,,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
69,Azerbaijan,,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
70,Burundi,,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
71,Burundi,,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
72,Burundi,,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
73,Burundi,,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
74,Burundi,,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
75,Burundi,,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
76,Burundi,,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
77,Belgium,,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
78,Belgium,,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
79,Belgium,,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
80,Belgium,,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
81,Belgium,,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
82,Belgium,,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
83,Belgium,,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
84,Benin,,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
85,Benin,,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
86,Benin,,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
87,Benin,,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
88,Benin,,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
89,Benin,,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
90,Benin,,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
91,Burkina Faso,,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
92,Burkina Faso,,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
93,Burkina Faso,,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
94,Burkina Faso,,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
95,Burkina Faso,,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
96,Burkina Faso,,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
97,Burkina Faso,,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
98,Bangladesh,,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
99,Bangladesh,,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
100,Bangladesh,,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
101,Bangladesh,,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
102,Bangladesh,,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
103,Bangladesh,,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
104,Bangladesh,,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
105,Bulgaria,,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
106,Bulgaria,,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
107,Bulgaria,,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
108,Bulgaria,,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
109,Bulgaria,,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
